6311 300 300
170 250 6 1
85 125 4 1
68 100 5 0
171 250 6 1
86 125 4 1
172 250 6 1
87 125 4 1
88 125 4 1
186 250 7 0
187 250 7 0
188 250 7 0
189 250 7 0
190 250 7 0
191 250 7 0
192 250 7 0
193 250 7 0
194 250 7 0
194 200 3 1
195 200 3 1
196 200 3 1
197 200 3 1
198 200 3 1
199 200 3 1
200 200 3 1
188 175 3 1
189 175 3 1
190 175 3 1
191 175 3 1
192 175 3 1
193 175 3 1
194 175 3 1
233 225 2 0
187 150 3 1
188 150 3 1
189 150 3 1
190 150 3 1
191 150 3 1
192 150 3 1
226 200 2 0
193 150 3 1
227 200 2 0
194 150 3 1
228 200 2 0
229 200 2 0
230 200 2 0
231 200 2 0
232 200 2 0
215 175 2 0
216 175 2 0
217 175 2 0
184 125 3 1
218 175 2 0
185 125 3 1
219 175 2 0
186 125 3 1
220 175 2 0
187 125 3 1
221 175 2 0
188 125 3 1
222 175 2 0
189 125 3 1
223 175 2 0
190 125 3 1
175 100 3 1
176 100 3 1
210 150 2 0
177 100 3 1
211 150 2 0
178 100 3 1
212 150 2 0
162 75 3 1
179 100 3 1
213 150 2 0
163 75 3 1
180 100 3 1
214 150 2 0
164 75 3 1
181 100 3 1
215 150 2 0
165 75 3 1
216 150 2 0
166 75 3 1
167 75 3 1
168 75 3 1
169 75 3 1
210 125 2 0
211 125 2 0
212 125 2 0
213 125 2 0
214 125 2 0
215 125 2 0
216 125 2 0
202 100 2 0
203 100 2 0
204 100 2 0
205 100 2 0
206 100 2 0
207 100 2 0
208 100 2 0
192 75 2 0
193 75 2 0
194 75 2 0
195 75 2 0
196 75 2 0
197 75 2 0
198 75 2 0
181 50 2 0
17 251 7 0
182 50 2 0
18 251 7 0
183 50 2 0
19 251 7 0
184 50 2 0
20 251 7 0
185 50 2 0
21 251 7 0
186 50 2 0
22 251 7 0
23 251 7 0
11 176 5 0
12 176 5 0
13 176 5 0
14 176 5 0
15 176 5 0
67 251 6 1
16 176 5 0
68 251 6 1
69 251 6 1
70 251 6 1
71 251 6 1
72 251 6 1
73 251 6 1
74 251 6 1
75 251 6 1
76 251 6 1
94 276 7 0
77 251 6 1
95 276 7 0
78 251 6 1
96 276 7 0
79 251 6 1
97 276 7 0
80 251 6 1
98 276 7 0
81 251 6 1
99 276 7 0
82 251 6 1
100 276 7 0
83 251 6 1
101 276 7 0
84 251 6 1
102 276 7 0
85 251 6 1
103 276 7 0
86 251 6 1
104 276 7 0
87 251 6 1
105 276 7 0
88 251 6 1
20 151 5 0
106 276 7 0
89 251 6 1
21 151 5 0
107 276 7 0
90 251 6 1
22 151 5 0
108 276 7 0
91 251 6 1
23 151 5 0
109 276 7 0
92 251 6 1
24 151 5 0
110 276 7 0
93 251 6 1
25 151 5 0
111 276 7 0
94 251 6 1
26 151 5 0
112 276 7 0
95 251 6 1
27 151 5 0
113 276 7 0
96 251 6 1
114 276 7 0
97 251 6 1
115 276 7 0
116 276 7 0
33 126 5 0
34 126 5 0
35 126 5 0
36 126 5 0
37 126 5 0
38 126 5 0
39 126 5 0
40 126 5 0
144 276 7 0
145 276 7 0
60 151 4 1
146 276 7 0
61 151 4 1
147 276 7 0
62 151 4 1
148 276 7 0
63 151 4 1
149 276 7 0
64 151 4 1
150 276 7 0
65 151 4 1
151 276 7 0
66 151 4 1
152 276 7 0
67 151 4 1
153 276 7 0
68 151 4 1
154 276 7 0
69 151 4 1
155 276 7 0
156 276 7 0
157 276 7 0
158 276 7 0
159 276 7 0
160 276 7 0
149 251 6 1
150 251 6 1
151 251 6 1
152 251 6 1
153 251 6 1
154 251 6 1
155 251 6 1
156 251 6 1
157 251 6 1
158 251 6 1
56 101 5 0
159 251 6 1
57 101 5 0
160 251 6 1
58 101 5 0
161 251 6 1
59 101 5 0
162 251 6 1
60 101 5 0
163 251 6 1
61 101 5 0
164 251 6 1
62 101 5 0
165 251 6 1
80 126 4 1
63 101 5 0
166 251 6 1
81 126 4 1
64 101 5 0
167 251 6 1
82 126 4 1
65 101 5 0
168 251 6 1
83 126 4 1
66 101 5 0
169 251 6 1
84 126 4 1
67 101 5 0
170 251 6 1
85 126 4 1
171 251 6 1
86 126 4 1
87 126 4 1
88 126 4 1
185 251 7 0
186 251 7 0
187 251 7 0
188 251 7 0
189 251 7 0
190 251 7 0
191 251 7 0
192 251 7 0
193 251 7 0
194 201 3 1
195 201 3 1
196 201 3 1
197 201 3 1
198 201 3 1
199 201 3 1
200 201 3 1
201 201 3 1
188 176 3 1
189 176 3 1
190 176 3 1
191 176 3 1
192 176 3 1
193 176 3 1
194 176 3 1
188 151 3 1
189 151 3 1
190 151 3 1
191 151 3 1
192 151 3 1
226 201 2 0
193 151 3 1
227 201 2 0
194 151 3 1
228 201 2 0
229 201 2 0
230 201 2 0
231 201 2 0
232 201 2 0
233 201 2 0
216 176 2 0
217 176 2 0
184 126 3 1
218 176 2 0
185 126 3 1
219 176 2 0
186 126 3 1
220 176 2 0
187 126 3 1
221 176 2 0
188 126 3 1
222 176 2 0
189 126 3 1
223 176 2 0
190 126 3 1
175 101 3 1
176 101 3 1
210 151 2 0
177 101 3 1
211 151 2 0
178 101 3 1
212 151 2 0
162 76 3 1
179 101 3 1
213 151 2 0
163 76 3 1
180 101 3 1
214 151 2 0
164 76 3 1
181 101 3 1
215 151 2 0
165 76 3 1
216 151 2 0
166 76 3 1
167 76 3 1
168 76 3 1
169 76 3 1
170 76 3 1
171 76 3 1
159 51 3 1
210 126 2 0
211 126 2 0
212 126 2 0
213 126 2 0
214 126 2 0
215 126 2 0
216 126 2 0
202 101 2 0
203 101 2 0
204 101 2 0
205 101 2 0
206 101 2 0
207 101 2 0
208 101 2 0
209 101 2 0
192 76 2 0
193 76 2 0
194 76 2 0
195 76 2 0
196 76 2 0
197 76 2 0
180 51 2 0
198 76 2 0
181 51 2 0
182 51 2 0
18 252 7 0
183 51 2 0
19 252 7 0
184 51 2 0
20 252 7 0
185 51 2 0
21 252 7 0
186 51 2 0
22 252 7 0
187 51 2 0
23 252 7 0
24 252 7 0
11 177 5 0
12 177 5 0
13 177 5 0
14 177 5 0
15 177 5 0
16 177 5 0
76 252 6 1
77 252 6 1
78 252 6 1
79 252 6 1
80 252 6 1
98 277 7 0
81 252 6 1
99 277 7 0
82 252 6 1
100 277 7 0
83 252 6 1
101 277 7 0
84 252 6 1
102 277 7 0
85 252 6 1
103 277 7 0
86 252 6 1
104 277 7 0
87 252 6 1
105 277 7 0
88 252 6 1
20 152 5 0
106 277 7 0
89 252 6 1
21 152 5 0
107 277 7 0
90 252 6 1
22 152 5 0
108 277 7 0
91 252 6 1
23 152 5 0
109 277 7 0
92 252 6 1
24 152 5 0
110 277 7 0
93 252 6 1
25 152 5 0
111 277 7 0
94 252 6 1
26 152 5 0
112 277 7 0
95 252 6 1
113 277 7 0
96 252 6 1
114 277 7 0
97 252 6 1
115 277 7 0
98 252 6 1
116 277 7 0
99 252 6 1
117 277 7 0
100 252 6 1
118 277 7 0
119 277 7 0
120 277 7 0
121 277 7 0
122 277 7 0
123 277 7 0
124 277 7 0
33 127 5 0
34 127 5 0
35 127 5 0
36 127 5 0
37 127 5 0
38 127 5 0
39 127 5 0
142 277 7 0
143 277 7 0
144 277 7 0
145 277 7 0
60 152 4 1
146 277 7 0
61 152 4 1
147 277 7 0
62 152 4 1
148 277 7 0
63 152 4 1
149 277 7 0
64 152 4 1
150 277 7 0
65 152 4 1
151 277 7 0
66 152 4 1
152 277 7 0
67 152 4 1
153 277 7 0
68 152 4 1
154 277 7 0
69 152 4 1
155 277 7 0
156 277 7 0
157 277 7 0
144 252 6 1
145 252 6 1
146 252 6 1
147 252 6 1
148 252 6 1
149 252 6 1
150 252 6 1
151 252 6 1
152 252 6 1
153 252 6 1
154 252 6 1
155 252 6 1
156 252 6 1
54 102 5 0
157 252 6 1
55 102 5 0
158 252 6 1
56 102 5 0
159 252 6 1
57 102 5 0
160 252 6 1
58 102 5 0
161 252 6 1
59 102 5 0
162 252 6 1
60 102 5 0
163 252 6 1
61 102 5 0
164 252 6 1
62 102 5 0
165 252 6 1
80 127 4 1
63 102 5 0
166 252 6 1
81 127 4 1
64 102 5 0
167 252 6 1
82 127 4 1
65 102 5 0
168 252 6 1
83 127 4 1
66 102 5 0
169 252 6 1
84 127 4 1
170 252 6 1
85 127 4 1
171 252 6 1
86 127 4 1
87 127 4 1
183 252 7 0
184 252 7 0
185 252 7 0
186 252 7 0
187 252 7 0
188 252 7 0
189 252 7 0
190 252 7 0
191 252 7 0
192 252 7 0
195 202 3 1
196 202 3 1
197 202 3 1
198 202 3 1
199 202 3 1
200 202 3 1
201 202 3 1
188 177 3 1
189 177 3 1
190 177 3 1
191 177 3 1
192 177 3 1
193 177 3 1
194 177 3 1
188 152 3 1
189 152 3 1
190 152 3 1
191 152 3 1
192 152 3 1
193 152 3 1
227 202 2 0
194 152 3 1
228 202 2 0
229 202 2 0
230 202 2 0
231 202 2 0
232 202 2 0
233 202 2 0
217 177 2 0
184 127 3 1
218 177 2 0
185 127 3 1
219 177 2 0
186 127 3 1
220 177 2 0
187 127 3 1
221 177 2 0
188 127 3 1
222 177 2 0
189 127 3 1
223 177 2 0
190 127 3 1
224 177 2 0
175 102 3 1
176 102 3 1
210 152 2 0
177 102 3 1
211 152 2 0
178 102 3 1
212 152 2 0
179 102 3 1
213 152 2 0
163 77 3 1
180 102 3 1
214 152 2 0
164 77 3 1
181 102 3 1
215 152 2 0
165 77 3 1
182 102 3 1
216 152 2 0
166 77 3 1
167 77 3 1
168 77 3 1
169 77 3 1
170 77 3 1
171 77 3 1
157 52 3 1
158 52 3 1
159 52 3 1
210 127 2 0
160 52 3 1
211 127 2 0
161 52 3 1
212 127 2 0
213 127 2 0
214 127 2 0
215 127 2 0
216 127 2 0
203 102 2 0
204 102 2 0
205 102 2 0
206 102 2 0
207 102 2 0
208 102 2 0
209 102 2 0
192 77 2 0
193 77 2 0
194 77 2 0
195 77 2 0
196 77 2 0
197 77 2 0
180 52 2 0
198 77 2 0
181 52 2 0
182 52 2 0
18 253 7 0
183 52 2 0
19 253 7 0
184 52 2 0
20 253 7 0
185 52 2 0
21 253 7 0
186 52 2 0
22 253 7 0
187 52 2 0
23 253 7 0
24 253 7 0
13 178 5 0
14 178 5 0
78 253 6 1
79 253 6 1
80 253 6 1
81 253 6 1
82 253 6 1
83 253 6 1
84 253 6 1
102 278 7 0
85 253 6 1
103 278 7 0
86 253 6 1
104 278 7 0
87 253 6 1
105 278 7 0
88 253 6 1
20 153 5 0
106 278 7 0
89 253 6 1
21 153 5 0
107 278 7 0
90 253 6 1
22 153 5 0
108 278 7 0
91 253 6 1
23 153 5 0
109 278 7 0
92 253 6 1
24 153 5 0
110 278 7 0
93 253 6 1
25 153 5 0
111 278 7 0
94 253 6 1
26 153 5 0
112 278 7 0
95 253 6 1
113 278 7 0
96 253 6 1
114 278 7 0
97 253 6 1
115 278 7 0
98 253 6 1
116 278 7 0
99 253 6 1
117 278 7 0
100 253 6 1
118 278 7 0
101 253 6 1
119 278 7 0
102 253 6 1
120 278 7 0
103 253 6 1
121 278 7 0
104 253 6 1
122 278 7 0
105 253 6 1
123 278 7 0
106 253 6 1
124 278 7 0
107 253 6 1
125 278 7 0
108 253 6 1
126 278 7 0
109 253 6 1
110 253 6 1
111 253 6 1
112 253 6 1
113 253 6 1
114 253 6 1
115 253 6 1
116 253 6 1
117 253 6 1
32 128 5 0
118 253 6 1
33 128 5 0
119 253 6 1
34 128 5 0
120 253 6 1
35 128 5 0
121 253 6 1
36 128 5 0
122 253 6 1
37 128 5 0
140 278 7 0
123 253 6 1
38 128 5 0
141 278 7 0
124 253 6 1
39 128 5 0
142 278 7 0
125 253 6 1
143 278 7 0
126 253 6 1
144 278 7 0
127 253 6 1
59 153 4 1
145 278 7 0
128 253 6 1
60 153 4 1
146 278 7 0
129 253 6 1
61 153 4 1
147 278 7 0
130 253 6 1
62 153 4 1
148 278 7 0
131 253 6 1
63 153 4 1
149 278 7 0
132 253 6 1
64 153 4 1
150 278 7 0
133 253 6 1
65 153 4 1
151 278 7 0
134 253 6 1
66 153 4 1
152 278 7 0
135 253 6 1
67 153 4 1
153 278 7 0
136 253 6 1
154 278 7 0
137 253 6 1
155 278 7 0
138 253 6 1
139 253 6 1
140 253 6 1
141 253 6 1
142 253 6 1
143 253 6 1
144 253 6 1
145 253 6 1
146 253 6 1
147 253 6 1
148 253 6 1
149 253 6 1
150 253 6 1
151 253 6 1
152 253 6 1
153 253 6 1
154 253 6 1
155 253 6 1
53 103 5 0
156 253 6 1
54 103 5 0
157 253 6 1
55 103 5 0
158 253 6 1
56 103 5 0
159 253 6 1
57 103 5 0
160 253 6 1
58 103 5 0
161 253 6 1
59 103 5 0
162 253 6 1
60 103 5 0
163 253 6 1
78 128 4 1
61 103 5 0
164 253 6 1
79 128 4 1
62 103 5 0
165 253 6 1
80 128 4 1
63 103 5 0
166 253 6 1
81 128 4 1
64 103 5 0
167 253 6 1
82 128 4 1
168 253 6 1
83 128 4 1
169 253 6 1
84 128 4 1
85 128 4 1
86 128 4 1
183 253 7 0
184 253 7 0
185 253 7 0
186 253 7 0
187 253 7 0
188 253 7 0
189 253 7 0
190 253 7 0
191 253 7 0
195 203 3 1
196 203 3 1
197 203 3 1
198 203 3 1
199 203 3 1
200 203 3 1
201 203 3 1
188 178 3 1
189 178 3 1
190 178 3 1
191 178 3 1
192 178 3 1
193 178 3 1
194 178 3 1
195 178 3 1
188 153 3 1
189 153 3 1
190 153 3 1
191 153 3 1
192 153 3 1
193 153 3 1
227 203 2 0
194 153 3 1
228 203 2 0
229 203 2 0
230 203 2 0
231 203 2 0
232 203 2 0
233 203 2 0
217 178 2 0
184 128 3 1
218 178 2 0
185 128 3 1
219 178 2 0
186 128 3 1
220 178 2 0
187 128 3 1
221 178 2 0
188 128 3 1
222 178 2 0
189 128 3 1
223 178 2 0
190 128 3 1
224 178 2 0
191 128 3 1
176 103 3 1
210 153 2 0
177 103 3 1
211 153 2 0
178 103 3 1
212 153 2 0
179 103 3 1
213 153 2 0
163 78 3 1
180 103 3 1
214 153 2 0
164 78 3 1
181 103 3 1
215 153 2 0
165 78 3 1
182 103 3 1
216 153 2 0
166 78 3 1
167 78 3 1
168 78 3 1
169 78 3 1
170 78 3 1
171 78 3 1
172 78 3 1
157 53 3 1
158 53 3 1
159 53 3 1
210 128 2 0
160 53 3 1
211 128 2 0
161 53 3 1
212 128 2 0
213 128 2 0
214 128 2 0
215 128 2 0
216 128 2 0
203 103 2 0
204 103 2 0
205 103 2 0
206 103 2 0
207 103 2 0
208 103 2 0
209 103 2 0
192 78 2 0
193 78 2 0
194 78 2 0
195 78 2 0
196 78 2 0
197 78 2 0
198 78 2 0
181 53 2 0
199 78 2 0
182 53 2 0
18 254 7 0
183 53 2 0
19 254 7 0
184 53 2 0
20 254 7 0
185 53 2 0
21 254 7 0
186 53 2 0
22 254 7 0
187 53 2 0
23 254 7 0
188 53 2 0
24 254 7 0
25 254 7 0
84 254 6 1
85 254 6 1
86 254 6 1
104 279 7 0
87 254 6 1
105 279 7 0
88 254 6 1
20 154 5 0
106 279 7 0
89 254 6 1
21 154 5 0
107 279 7 0
90 254 6 1
22 154 5 0
108 279 7 0
91 254 6 1
23 154 5 0
109 279 7 0
92 254 6 1
24 154 5 0
110 279 7 0
93 254 6 1
25 154 5 0
111 279 7 0
94 254 6 1
26 154 5 0
112 279 7 0
95 254 6 1
113 279 7 0
96 254 6 1
114 279 7 0
97 254 6 1
115 279 7 0
98 254 6 1
116 279 7 0
99 254 6 1
117 279 7 0
100 254 6 1
118 279 7 0
101 254 6 1
119 279 7 0
102 254 6 1
120 279 7 0
103 254 6 1
121 279 7 0
104 254 6 1
122 279 7 0
105 254 6 1
123 279 7 0
106 254 6 1
124 279 7 0
107 254 6 1
125 279 7 0
108 254 6 1
126 279 7 0
109 254 6 1
127 279 7 0
110 254 6 1
111 254 6 1
112 254 6 1
113 254 6 1
114 254 6 1
115 254 6 1
116 254 6 1
31 129 5 0
117 254 6 1
32 129 5 0
135 279 7 0
118 254 6 1
33 129 5 0
136 279 7 0
119 254 6 1
34 129 5 0
137 279 7 0
120 254 6 1
35 129 5 0
138 279 7 0
121 254 6 1
36 129 5 0
139 279 7 0
122 254 6 1
37 129 5 0
140 279 7 0
123 254 6 1
38 129 5 0
141 279 7 0
124 254 6 1
142 279 7 0
125 254 6 1
143 279 7 0
126 254 6 1
144 279 7 0
127 254 6 1
59 154 4 1
145 279 7 0
128 254 6 1
60 154 4 1
146 279 7 0
129 254 6 1
61 154 4 1
147 279 7 0
130 254 6 1
62 154 4 1
148 279 7 0
131 254 6 1
63 154 4 1
149 279 7 0
132 254 6 1
64 154 4 1
150 279 7 0
133 254 6 1
65 154 4 1
151 279 7 0
134 254 6 1
66 154 4 1
152 279 7 0
135 254 6 1
67 154 4 1
153 279 7 0
136 254 6 1
137 254 6 1
138 254 6 1
139 254 6 1
140 254 6 1
141 254 6 1
142 254 6 1
143 254 6 1
144 254 6 1
145 254 6 1
146 254 6 1
147 254 6 1
148 254 6 1
149 254 6 1
150 254 6 1
151 254 6 1
152 254 6 1
153 254 6 1
154 254 6 1
52 104 5 0
155 254 6 1
53 104 5 0
156 254 6 1
54 104 5 0
157 254 6 1
55 104 5 0
158 254 6 1
56 104 5 0
159 254 6 1
57 104 5 0
160 254 6 1
58 104 5 0
161 254 6 1
59 104 5 0
162 254 6 1
60 104 5 0
163 254 6 1
78 129 4 1
61 104 5 0
164 254 6 1
79 129 4 1
62 104 5 0
165 254 6 1
80 129 4 1
63 104 5 0
81 129 4 1
82 129 4 1
83 129 4 1
84 129 4 1
85 129 4 1
86 129 4 1
181 254 7 0
182 254 7 0
183 254 7 0
184 254 7 0
185 254 7 0
186 254 7 0
187 254 7 0
188 254 7 0
189 254 7 0
190 254 7 0
191 254 7 0
92 104 4 1
196 204 3 1
197 204 3 1
198 204 3 1
199 204 3 1
200 204 3 1
201 204 3 1
202 204 3 1
189 179 3 1
190 179 3 1
191 179 3 1
192 179 3 1
193 179 3 1
194 179 3 1
195 179 3 1
188 154 3 1
189 154 3 1
190 154 3 1
191 154 3 1
192 154 3 1
193 154 3 1
227 204 2 0
194 154 3 1
228 204 2 0
229 204 2 0
230 204 2 0
231 204 2 0
232 204 2 0
233 204 2 0
218 179 2 0
185 129 3 1
219 179 2 0
186 129 3 1
220 179 2 0
187 129 3 1
221 179 2 0
188 129 3 1
222 179 2 0
189 129 3 1
223 179 2 0
190 129 3 1
224 179 2 0
191 129 3 1
225 179 2 0
176 104 3 1
210 154 2 0
177 104 3 1
211 154 2 0
178 104 3 1
212 154 2 0
179 104 3 1
213 154 2 0
180 104 3 1
214 154 2 0
181 104 3 1
215 154 2 0
165 79 3 1
182 104 3 1
216 154 2 0
166 79 3 1
167 79 3 1
168 79 3 1
169 79 3 1
170 79 3 1
171 79 3 1
172 79 3 1
156 54 3 1
157 54 3 1
158 54 3 1
159 54 3 1
210 129 2 0
160 54 3 1
211 129 2 0
161 54 3 1
212 129 2 0
162 54 3 1
213 129 2 0
214 129 2 0
215 129 2 0
216 129 2 0
204 104 2 0
205 104 2 0
206 104 2 0
207 104 2 0
208 104 2 0
209 104 2 0
210 104 2 0
193 79 2 0
194 79 2 0
195 79 2 0
196 79 2 0
197 79 2 0
198 79 2 0
181 54 2 0
199 79 2 0
182 54 2 0
183 54 2 0
19 255 7 0
184 54 2 0
20 255 7 0
185 54 2 0
21 255 7 0
186 54 2 0
22 255 7 0
187 54 2 0
23 255 7 0
188 54 2 0
24 255 7 0
189 54 2 0
25 255 7 0
25 230 6 1
26 230 6 1
27 230 6 1
86 255 6 1
87 255 6 1
19 155 5 0
88 255 6 1
20 155 5 0
89 255 6 1
21 155 5 0
107 280 7 0
90 255 6 1
22 155 5 0
108 280 7 0
91 255 6 1
23 155 5 0
109 280 7 0
92 255 6 1
24 155 5 0
110 280 7 0
93 255 6 1
25 155 5 0
111 280 7 0
94 255 6 1
26 155 5 0
112 280 7 0
95 255 6 1
113 280 7 0
96 255 6 1
114 280 7 0
97 255 6 1
115 280 7 0
98 255 6 1
116 280 7 0
99 255 6 1
117 280 7 0
100 255 6 1
118 280 7 0
101 255 6 1
119 280 7 0
102 255 6 1
120 280 7 0
103 255 6 1
121 280 7 0
104 255 6 1
122 280 7 0
105 255 6 1
123 280 7 0
106 255 6 1
124 280 7 0
107 255 6 1
125 280 7 0
108 255 6 1
126 280 7 0
109 255 6 1
127 280 7 0
110 255 6 1
128 280 7 0
111 255 6 1
129 280 7 0
112 255 6 1
113 255 6 1
114 255 6 1
115 255 6 1
133 280 7 0
116 255 6 1
31 130 5 0
134 280 7 0
117 255 6 1
32 130 5 0
135 280 7 0
118 255 6 1
33 130 5 0
136 280 7 0
119 255 6 1
34 130 5 0
137 280 7 0
120 255 6 1
35 130 5 0
138 280 7 0
121 255 6 1
36 130 5 0
139 280 7 0
122 255 6 1
37 130 5 0
140 280 7 0
123 255 6 1
141 280 7 0
124 255 6 1
142 280 7 0
125 255 6 1
57 155 4 1
143 280 7 0
126 255 6 1
58 155 4 1
144 280 7 0
127 255 6 1
59 155 4 1
145 280 7 0
128 255 6 1
60 155 4 1
146 280 7 0
129 255 6 1
61 155 4 1
147 280 7 0
130 255 6 1
62 155 4 1
148 280 7 0
131 255 6 1
63 155 4 1
149 280 7 0
132 255 6 1
64 155 4 1
150 280 7 0
133 255 6 1
65 155 4 1
151 280 7 0
134 255 6 1
152 280 7 0
135 255 6 1
136 255 6 1
137 255 6 1
138 255 6 1
139 255 6 1
140 255 6 1
141 255 6 1
142 255 6 1
143 255 6 1
144 255 6 1
145 255 6 1
146 255 6 1
147 255 6 1
148 255 6 1
149 255 6 1
150 255 6 1
151 255 6 1
152 255 6 1
153 255 6 1
51 105 5 0
154 255 6 1
52 105 5 0
155 255 6 1
53 105 5 0
156 255 6 1
54 105 5 0
157 255 6 1
55 105 5 0
158 255 6 1
56 105 5 0
159 255 6 1
57 105 5 0
160 255 6 1
58 105 5 0
161 255 6 1
